20230917	07:37:41	fe217913-7f54-4ad2-be9a-84dfd152bc73	POST	undefined	/register
20230917	07:38:01	4f96f423-3975-4fc2-8582-cb7425746f64	POST	undefined	/register
20230917	07:38:39	75483865-872e-476c-bfc1-7ac4a03b9262	POST	undefined	/register
20230917	07:41:56	6a05d971-cdb8-433a-ab31-9cc583ea0d46	POST	undefined	/register
20230917	07:42:09	fe30744f-fb9b-4ec4-acbf-76590be9a605	POST	undefined	/register
20230917	07:42:25	dde6133d-9562-4dda-abe8-ce11e25a61c3	POST	undefined	/register
20230917	07:59:54	f37e4954-b3b2-4b08-85d4-a526663da28a	GET	undefined	/employees
20230917	08:00:40	5ced0f45-0d97-4cbb-82bf-4253def5d815	POST	undefined	/employees
20230917	08:01:00	f8a8cd26-0e86-476e-940f-5f993957df8c	POST	undefined	/employees
20230917	08:02:23	cf931ebc-1395-4657-8abd-0674743c87c8	PUT	undefined	/employees
20230917	08:03:12	0492186f-8685-4909-be2c-dd3b5e3bef8c	DELETE	undefined	/employees
20230917	08:03:37	e24f396b-8fad-4dea-b0db-e55f2ad2d3fc	GET	undefined	/employees/1
20230917	08:06:02	6e6571b6-ada4-42f0-a876-fe5d2bfc1127	POST	undefined	/register
20230917	08:06:10	ed068674-d9ca-418b-9d89-2561710127d6	POST	undefined	/register
20230917	08:07:38	fe5e066f-7a10-47a4-a3d9-748034c136dc	POST	undefined	/auth
20230917	08:07:45	9f6e76f7-c891-4b74-b1f0-3882472f0334	POST	undefined	/auth
20230917	08:08:08	0db575f5-54d5-4a3a-9094-3a0438a3c934	POST	undefined	/auth
20230917	14:04:17	deccf6c1-e9e8-4eeb-b945-a732f754d22b	GET	undefined	/employees
20230917	14:04:28	edd583ec-66d7-4b3e-ba2e-e5cd3127173f	POST	undefined	/auth
20230917	14:04:53	32c31b6c-dc29-47bf-a750-43768dcebe63	GET	undefined	/employees
20230917	14:05:11	031c75ca-987a-4279-a528-e008cf4fee64	GET	undefined	/employees
